tipe_entitas,nama_entitas,tahun,nilai
Kuasa Pertambangan Swasta,Prov. Kalimantan Tengah,2008,
Kuasa Pertambangan Swasta,Prov. Kalimantan Tengah,2009,
Kuasa Pertambangan Swasta,Prov. Kalimantan Tengah,2010,
Kuasa Pertambangan Swasta,Prov. Kalimantan Timur,2003,
Kuasa Pertambangan Swasta,Prov. Kalimantan Timur,2004,
Kuasa Pertambangan Swasta,Prov. Kalimantan Timur,2005,
Kuasa Pertambangan Swasta,Prov. Kalimantan Timur,2006,
Kuasa Pertambangan Swasta,Prov. Kalimantan Timur,2007,
Kuasa Pertambangan Swasta,Prov. Kalimantan Timur,2008,
Kuasa Pertambangan Swasta,Prov. Kalimantan Timur,2009,5812727.3
Kuasa Pertambangan Swasta,Prov. Kalimantan Timur,2010,2843993.9
Kuasa Pertambangan Swasta,Prov. Riau,2003,
Kuasa Pertambangan Swasta,Prov. Riau,2004,
Kuasa Pertambangan Swasta,Prov. Riau,2005,
Kuasa Pertambangan Swasta,Prov. Riau,2006,
Kuasa Pertambangan Swasta,Prov. Riau,2007,
Kuasa Pertambangan Swasta,Prov. Riau,2008,
Kuasa Pertambangan Swasta,Prov. Riau,2009,301714.42
Kuasa Pertambangan Swasta,Prov. Riau,2010,
Kuasa Pertambangan Swasta,Prov. Sumatera Barat,2003,
Kuasa Pertambangan Swasta,Prov. Sumatera Barat,2004,
Kuasa Pertambangan Swasta,Prov. Sumatera Barat,2005,
Kuasa Pertambangan Swasta,Prov. Sumatera Barat,2006,
Kuasa Pertambangan Swasta,Prov. Sumatera Barat,2007,
Kuasa Pertambangan Swasta,Prov. Sumatera Barat,2008,
Kuasa Pertambangan Swasta,Prov. Sumatera Barat,2009,
Kuasa Pertambangan Swasta,Prov. Sumatera Barat,2010,
Kuasa Pertambangan Swasta,Prov. Sumatera Selatan,2003,
Kuasa Pertambangan Swasta,Prov. Sumatera Selatan,2004,
Kuasa Pertambangan Swasta,Prov. Sumatera Selatan,2005,
Kuasa Pertambangan Swasta,Prov. Sumatera Selatan,2006,
Kuasa Pertambangan Swasta,Prov. Sumatera Selatan,2007,
Kuasa Pertambangan Swasta,Prov. Sumatera Selatan,2008,
Kuasa Pertambangan Swasta,Prov. Sumatera Selatan,2009,
Kuasa Pertambangan Swasta,Prov. Sumatera Selatan,2010,
Kontraktor,"Riau Bara Harum, PT",2003,
Kontraktor,"Riau Bara Harum, PT",2004,
Kontraktor,"Riau Bara Harum, PT",2005,
Kontraktor,"Riau Bara Harum, PT",2006,368347
Kontraktor,"Riau Bara Harum, PT",2007,706205
Kontraktor,"Riau Bara Harum, PT",2008,282147
Kontraktor,"Riau Bara Harum, PT",2009,1307199
Kontraktor,"Riau Bara Harum, PT",2010,812290
Kontraktor,"Santan Batubara, PT",2003,
Kontraktor,"Santan Batubara, PT",2004,
Kontraktor,"Santan Batubara, PT",2005,
Kontraktor,"Santan Batubara, PT",2006,
Kontraktor,"Santan Batubara, PT",2007,
Kontraktor,"Santan Batubara, PT",2008,
Kontraktor,"Santan Batubara, PT",2009,534554
Kontraktor,"Santan Batubara, PT",2010,546620
Kontraktor,"Senamas Energindo Mulia, PT",2003,
Kontraktor,"Senamas Energindo Mulia, PT",2004,
Kontraktor,"Senamas Energindo Mulia, PT",2005,
Kontraktor,"Senamas Energindo Mulia, PT",2006,
Kontraktor,"Senamas Energindo Mulia, PT",2007,
Kontraktor,"Senamas Energindo Mulia, PT",2008,
Kontraktor,"Senamas Energindo Mulia, PT",2009,
Kontraktor,"Senamas Energindo Mulia, PT",2010,
Kontraktor,"Singlurus Pratama, PT",2003,
Kontraktor,"Singlurus Pratama, PT",2004,
Kontraktor,"Singlurus Pratama, PT",2005,
Kontraktor,"Singlurus Pratama, PT",2006,
Kontraktor,"Singlurus Pratama, PT",2007,
Kontraktor,"Singlurus Pratama, PT",2008,
Kontraktor,"Singlurus Pratama, PT",2009,430069.22
Kontraktor,"Singlurus Pratama, PT",2010,336404.51
Kontraktor,"Sumber Kurnia Buana, PT",2003,
Kontraktor,"Sumber Kurnia Buana, PT",2004,
Kontraktor,"Sumber Kurnia Buana, PT",2005,
Kontraktor,"Sumber Kurnia Buana, PT",2006,
Kontraktor,"Sumber Kurnia Buana, PT",2007,
Kontraktor,"Sumber Kurnia Buana, PT",2008,
Kontraktor,"Sumber Kurnia Buana, PT",2009,
Kontraktor,"Sumber Kurnia Buana, PT",2010,
Kontraktor,"Tanito Harum, PT",2003,2239660
Kontraktor,"Tanito Harum, PT",2004,2967338
Kontraktor,"Tanito Harum, PT",2005,5467352
Kontraktor,"Tanito Harum, PT",2006,1218648
Kontraktor,"Tanito Harum, PT",2007,5008126.5
Kontraktor,"Tanito Harum, PT",2008,1811581
Kontraktor,"Tanito Harum, PT",2009,2019011
